BA,"Provincie Overijssel: Bestuurlijke aangelegenheden (vervallen)"
BAC,"Provincie Overijssel: Bestuurlijke aangelegenheden (vervallen)"
BAJZ,"Provincie Overijssel: Bestuurlijke aangelegenheden (vervallen)"
BC,"Provincie Overijssel: Bestuur en Concernstaf (vervallen)"
CS,"Provincie Overijssel: Zorg en Cultuur (vervallen)"
DIR,"Provincie Overijssel: Directie"
EC,"Provincie Overijssel: eenheid Economie en Cultuur"
EMT,"Provincie Overijssel: Economie, Milieu en Toerisme (vervallen)"
EMTE,"Provincie Overijssel: Economie, Milieu en Toerisme (vervallen)"
EMTI,"Provincie Overijssel: Economie, Milieu en Toerisme (vervallen)"
EMTT,"Provincie Overijssel: Economie, Milieu en Toerisme (vervallen)"
FD,"Provincie Overijssel: eenheid Bedrijfsvoering"
FDDP,"Provincie Overijssel: eenheid Bedrijfsvoering"
LNL,"Provincie Overijssel: eenheid Natuur en Milieu"
LNLB,"Provincie Overijssel: eenheid Natuur en Milieu"
LNLO,"Provincie Overijssel: eenheid Natuur en Milieu"
LNLW,"Provincie Overijssel: eenheid Natuur en Milieu"
MI,"Provincie Overijssel: Middelen (vervallen)"
NM,"Provincie Overijssel: eenheid Natuur en Milieu"
PD,"Provincie Overijssel: eenheid publieke Dienstverlening"
PP,"Provincie Overijssel: eenheid Project- en Programmamanagement"
"Provincie Overijssel; eenheid Bedrijfsvoering","Provincie Overijssel: eenheid Bedrijfsvoering"
"Provincie Overijssel; eenheid Bestuurs- en Concernzaken","Provincie Overijssel: eenheid Bestuurs- en Concernzaken"
"Provincie Overijssel; eenheid Economie en Cultuur","Provincie Overijssel: eenheid Economie en Cultuur"
"Provincie Overijssel; eenheid Natuur en Milieu","Provincie Overijssel: eenheid Natuur en Milieu"
"Provincie Overijssel; eenheid Project- en Programmamanagement","Provincie Overijssel: eenheid Project- en Programmamanagement"
"Provincie Overijssel; eenheid publieke Dienstverlening","Provincie Overijssel: eenheid publieke Dienstverlening"
"Provincie Overijssel; eenheid Ruimte en Bereikbaarheid","Provincie Overijssel: eenheid Ruimte en Bereikbaarheid"
"Provincie Overijssel; eenheid Wegen en Kanalen","Provincie Overijssel: eenheid Wegen en Kanalen"
RB,"Provincie Overijssel: eenheid Ruimte en Bereikbaarheid"
RWB,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
RWBB,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
RWBO,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
RWBR,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
RWBT,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
RWBV,"Provincie Overijssel: Ruimte, Wonen en Bereikbaarheid (vervallen)"
WB,"Provincie Overijssel: Water en Bodem (vervallen)"
WBGP,"Provincie Overijssel: Water en Bodem (vervallen)"
WBIW,"Provincie Overijssel: Water en Bodem (vervallen)"
WBMU,"Provincie Overijssel: Water en Bodem (vervallen)"
WBVH,"Provincie Overijssel: Water en Bodem (vervallen)"
WK,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKI,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKII,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKIV,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKIW,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKL,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKMB,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKOB,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKWB,"Provincie Overijssel: eenheid Wegen en Kanalen"
WKWU,"Provincie Overijssel: eenheid Wegen en Kanalen"
ZC,"Provincie Overijssel: Zorg en Cultuur (vervallen)"
ZCO,"Provincie Overijssel: Zorg en Cultuur (vervallen)"
